,ResponseType,IPAddress,DurationS,Latitude,Longitude,Ocupacao,Estado ,Regiao,Hectares ,Culturas,Ano,Irrigado,SPD,BeneficioSPD,Cobertura,CulturadeCobertura,SLP,PDProblematica,PDRGly,PDRnome,PDRHerb,PRRHerbnome,RespAplic,TreinAplic,ManejoAlternativo,AdocaodeAuxinsT
11,IP Address,179.89.53.71,517,-30.03329468,-51.19999695,"Agronomo, Consultor, Produtor rural","RS, SC",Sul,3500,Arroz,1 (ex.: safra),Sim,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.)",Nao,,Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)","Aplicador especialista,Produtor rural",Sim,"Mecanico,Nenhum",
12,IP Address,138.186.55.28,347,,,"Agronomo, Estudante",MT,Centro,NA,Milho,2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao na compactacao do solo, Melhor controle de plantas daninhas",Nao,,Nao,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), tiririca (Cyperus sp.)",Nao tenho certeza,,Nao tenho certeza,,,,,
13,IP Address,45.33.141.22,149,,,"Consultor, Produtor rural",MG,Sudeste,NA,"Eucalipto, Milho, Sorgo, Pastagem",1 (ex.: safra),Nao,Nao,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao na compactacao do solo, Melhor controle de plantas daninhas",Nao,,Nao,"capim colchao (Digitaria sanguinalis), capim-pe-de-galinha (Eleusine indica), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), picao (Bidens sp.), poaia-branca (Richardia brasiliensis), trapoeraba (Commelina sp.)",Nao,,Nao,,,,,
14,IP Address,177.203.21.227,1345,-13.164505,-58.68789673,Produtor rural,MT,Centro,4900,"Arroz, Feijao, Milho, Soja",2 (ex.: safra e safrinha),Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Brachiaria ruziziensis,Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao,,Funcionario da fazenda,Sim,Cultural,Sim
15,IP Address,200.135.38.110,703,-27.20880127,-49.63200378,Professor,SC,Sul,160,"Arroz, HF",2 (ex.: safra e safrinha),Parcialmente,Parcialmente,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Sim,"crotalaria,  milheto e mucuna",Nao,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), buva (Conyza sp.), tiririca (Cyperus sp.), trapoeraba (Commelina sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da ACCase (ex. clethodim [Select])",Funcionario da fazenda,Sim,"Cultural,Fisico,Mecanico",
16,IP Address,191.211.50.73,832,-19.90170288,-43.96420288,Pesquisador em empresa,"BA, DF, GO, MA, MT, MS, MG, PR, RS, SC, SP, TO","Nordeste, Sudeste, Centro, Sul, Norte",0,"Algodao, Arroz, Feijao, Milho, Soja, Sorgo, Trigo",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,,Nao,capim-amargoso (Digitaria insularis),Sim,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), capim-branco (Chloris sp.), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da ACCase (ex. clethodim [Select]), Inibidores da Protox (ex. fomesafen [Flex],  lactofen [Cobra]), Inibidor de fotossistema II (ex. atrazine,  linuron)","Aplicador especialista,Produtor rural,Tecnico agricola",Sim,"Cultural,Mecanico",Sim
17,IP Address,177.79.2.44,211,,,"Agronomo, Cooperativa, Pesquisador em empresa, Produtor rural",RS,Sul,100,"Milho, Soja, Trigo, CultInverno",1 (ex.: safra),Nao,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Azevem,Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), poaia-branca (Richardia brasiliensis), trapoeraba (Commelina sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Sim,,,,,
18,IP Address,177.191.143.169,314,-18.58810425,-46.51409912,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT), Cooperativa, Produtor rural",MG,Sudeste,3500,Cafe,1 (ex.: safra),Nao,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Producao adicional de forragem para animais, Reducao na erosao do solo",Nao,,Sim,"corda-de-viola (Ipomoea sp.), trapoeraba (Commelina sp.)",Nao tenho certeza,,Nao,,Agronomo,Sim,Mecanico,
19,IP Address,179.190.44.71,1123,-23.57330322,-46.64169312,Comercial (Gerencia/ATC/RTV/MKT),SP,Sudeste,450,"Milho, Soja, Trigo",2 (ex.: safra e safrinha),Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), corda-de-viola (Ipomoea sp.), trapoeraba (Commelina sp.)",Sim,capim-amargoso (Digitaria insularis),Nao tenho certeza,,"Funcionario da fazenda,Produtor rural",Nao tenho certeza,Cultural,Sim
20,IP Address,177.128.122.209,635,-21.42500305,-55.54579926,"Agronomo, Consultor, Produtor rural",MS,Centro,11800,"Milho, Soja, CultInverno, Pastagem",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,"Crotalaria,  braquiaria,  milheto",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), poaia-branca (Richardia brasiliensis), trapoeraba (Commelina sp.), Outras (descreva),  Sorgo de alepo",Sim,"capim-amargoso (Digitaria insularis), capim-branco (Chloris sp.), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)",Funcionario da fazenda,Sim,Cultural,Sim
21,IP Address,177.8.73.174,470,-21.84120178,-47.43940735,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT), Cooperativa",SP,Sudeste,10000,"Cana-de-acucar, Citrus, Feijao, Milho, Soja","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao  no uso de agroquimicos, Reducao na erosao do solo",Sim,"Milheto,  tremosso,  aveia.",Nao,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da ACCase (ex. clethodim [Select]), Inibidores da Protox (ex. fomesafen [Flex],  lactofen [Cobra]), Inibidor de fotossistema I (ex. Paraquate [Gramoxone]), Inibidor de fotossistema II (ex. atrazine,  linuron), Inibidores da sintese de lipidios (ex. S-metolachloro [Dual Gold]), Inibidores da biossintese de carotenoides (ex. clomazone [Gamit],  mesotrione [Callisto]), Herbicidas mimetizadores de auxinas (ex.: 2, 4-D)",Produtor rural,Sim,Cultural,Sim
22,IP Address,187.2.68.211,854,-29.75,-57.08329773,"Agronomo, Consultor",RS,Sul,4.4,"Arroz, Soja",1 (ex.: safra),Sim,Parcialmente,"Aumento na fertilidade do solo, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Azevem,Sim,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), capim colchao (Digitaria sanguinalis), tiririca (Cyperus sp.)",Sim,Azevem (Lolium sp.),Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)",Funcionario da fazenda,Nao,"Cultural,Mecanico",Sim
23,IP Address,187.115.241.120,328,-22.87510681,-43.27749634,Professor,RJ,Sudeste,NA,"Cana-de-acucar, Milho, Soja",2 (ex.: safra e safrinha),Nao,Parcialmente,"Aumento na materia organica do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da ACCase (ex. clethodim [Select]), Inibidores da Protox (ex. fomesafen [Flex],  lactofen [Cobra]), Inibidor de fotossistema I (ex. Paraquate [Gramoxone]), Inibidor de fotossistema II (ex. atrazine,  linuron), Herbicidas mimetizadores de auxinas (ex.: 2, 4-D)","Agronomo,Cooperativa,Outros (descreva)",Sim,"Cultural,Mecanico",Sim
24,IP Address,177.75.151.245,774,-27.61689758,-52.10399628,Tecnico agricola,RS,Sul,NA,Soja,1 (ex.: safra),Nao,Sim,Reducao na erosao do solo,Sim,Aveia,Nao,buva (Conyza sp.),Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Nao tenho certeza,,"Agronomo,Aplicador especialista,Funcionario da fazenda",Nao tenho certeza,Cultural,Nao tenho certeza
25,IP Address,187.5.122.70,728,-12.6000061,-39.6000061,Agronomo,MT,Centro,5000,"Citrus, Feijao, Milho, Soja",2 (ex.: safra e safrinha),Parcialmente,Parcialmente,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,milheto,Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), tiririca (Cyperus sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao tenho certeza,,"Agronomo,Funcionario da fazenda,Produtor rural",Sim,Nenhum,Sim
26,IP Address,187.64.225.236,909,-22.90950012,-47.06739807,Pesquisador em empresa,"BA, GO, MA, MT, MS, MG, PA, PR, RS, SP, TO","Nordeste, Centro, Sudeste, Norte",NA,"Algodao, Cafe, Cana-de-acucar, Citrus, Milho, Soja, Trigo",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na materia organica do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,Inibidores da ACCase (ex. clethodim [Select]),Agronomo,Sim,Cultural,Nao
27,IP Address,201.8.175.84,441,-19.90170288,-43.96420288,"Pesquisador,  pos-doc",MG,Sudeste,0,Milho,1 (ex.: safra),Sim,Nao,,Nao,,Nao,"capim-amargoso (Digitaria insularis), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), picao (Bidens sp.), tiririca (Cyperus sp.)",Nao,,Nao,,Outros,Sim,"Cultural,Mecanico",Nao tenho certeza
28,IP Address,186.217.28.64,951,-22.88349915,-48.4414978,Funcionario da propriedade rural,SP,Sudeste,1,"Milho, Soja, Pastagem","3 (ex.: safra,  safrinha e cultura de inverno)",Nao,Sim,"Aumento na materia organica do solo, Diminuicao  nos custos com manejo do solo",Nao,,Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), apaga fogo.",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), apaga fogo,  trapoeraba",Nao,,Funcionario da fazenda,Nao,Mecanico,Sim
29,IP Address,181.222.242.135,456,-19.02330017,-48.33479309,Pesquisador em empresa,"BA, GO, MT, MS, PR, RS","Nordeste, Centro, Sul",NA,"Milho, Soja",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Diminuicao  nos custos com manejo do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.)",Sim,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidor de fotossistema I (ex. Paraquate [Gramoxone])",Produtor rural,Nao,Nenhum,Sim
30,IP Address,208.87.235.180,486,,,Agronomo,MG,Sudeste,5,Soja,2 (ex.: safra e safrinha),Parcialmente,Sim,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  no uso de agroquimicos, Reducao na erosao do solo",Sim,Milheto,Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Nao,,"Agronomo,Cooperativa,Funcionario da fazenda,Produtor rural,Tecnico agricola",Sim,Cultural,Sim
31,IP Address,189.35.47.54,618,-29.75,-57.08329773,"Agronomo, Extensionista agricola, Pesquisador publico",RS,Sul,106000,Arroz,"3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Sim,"Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,Azevem,Sim,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), tiririca (Cyperus sp.)",Nao,,Nao,,Funcionario da fazenda,Sim,"Fisico,Nenhum",
32,IP Address,177.196.231.1,855,-27.59039307,-48.57580566,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT), Pesquisador em empresa, Produtor rural",MT,Centro,30000,"Algodao, Eucalipto, Feijao, Milho, Soja, Sorgo,  Grao de bico,  Girassol,  Feijao branco,  Azuki",2 (ex.: safra e safrinha),Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,"Stilozantis,   brachiaria ,  milheto,  capim pe de galinha e as próprias ervas daninhas ",Sim,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), trapoeraba (Commelina sp.)",Sim,Outros,Nao,,"Agronomo,Aplicador especialista,Funcionario da fazenda,Produtor rural,Tecnico agricola",Sim,"Biologico,Cultural",Sim
33,IP Address,138.255.124.18,213,-29.5,-54.6832962,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
34,IP Address,138.255.124.18,936,-29.5,-54.6832962,Tecnico agricola,RS,Sul,3000,"Arroz, Milho, Soja, CultInverno",1 (ex.: safra),Parcialmente,Sim,"Diminuicao  nos custos com manejo do solo, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,Azevem e aveia,Sim,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), poaia-branca (Richardia brasiliensis), tiririca (Cyperus sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Nao tenho certeza,,"Funcionario da fazenda,Produtor rural",Sim,Cultural,Nao tenho certeza
35,IP Address,177.38.22.38,287,-21.58079529,-45.74299622,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT), Consultor, Produtor rural",MG,Sudeste,50000,"Cana-de-acucar, Feijao, Milho, Soja","3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.), tiririca (Cyperus sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao tenho certeza,,"Agronomo,Aplicador especialista,Funcionario da fazenda,Produtor rural,Tecnico agricola",Sim,"Cultural,Mecanico",Nao tenho certeza
36,IP Address,177.54.169.65,544,-21.40519714,-45.49440002,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT), Consultor, Produtor rural",MG,Sudeste,3200,"Cafe, Feijao, Milho, Soja, Sorgo",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,Aveia,Nao,capim-amargoso (Digitaria insularis),Sim,capim-amargoso (Digitaria insularis),Nao,,Funcionario da fazenda,Sim,Cultural,Nao tenho certeza
37,IP Address,177.36.193.44,11688,,,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT)",MG,Sudeste,0,,,,,,,,,,Nao,,Nao,,,,,
38,IP Address,181.191.231.114,533,-29.33329773,-53.09999847,Agronomo,RS,Sul,500,"Milho, Soja, Trigo",1 (ex.: safra),Nao,Sim,"Aumento na fertilidade do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Sim,"Aveia,  nabo,  azevem",Nao,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"Azevem (Lolium sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Herbicidas mimetizadores de auxinas (ex.: 2, 4-D)",Produtor rural,Sim,Cultural,Nao tenho certeza
39,IP Address,131.108.124.3,4573,-18.92399597,-54.84719849,Pesquisador em empresa,"BA, DF, GO, MT, MS","Nordeste, Centro",120,"Algodao, Cana-de-acucar, Feijao, Milho, Soja, Sorgo",2 (ex.: safra e safrinha),Parcialmente,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,"crotalaria,  Brachiaria,  Milheto",Nao,"capim-amargoso (Digitaria insularis), capim massambara (Sorghum halepense), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.), poaia-branca (Richardia brasiliensis), tiririca (Cyperus sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), Palmer (Amaranthus palmeri)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da ACCase (ex. clethodim [Select]), Inibidor de fotossistema I (ex. Paraquate [Gramoxone])","Agronomo,Aplicador especialista,Tecnico agricola",Sim,"Cultural,Mecanico",Sim
